序号,微博ID,发布时间,内容,点赞数,评论数,转发数,IP属地,链接
301,5272859670743996,2026-03-04 21:32:53+08:00,健身打卡，30min练背，1h椭圆机有氧。健身补卡：上周力训90min，爬坡30min+1节网球课。 ,0,1,0,上海,https://m.weibo.cn/detail/5272859670743996
302,5270292341457010,2026-02-25 19:31:13+08:00,健身打卡，力量训练60分钟：全身热身循环。 ,0,1,0,上海,https://m.weibo.cn/detail/5270292341457010
303,5265234073747659,2026-02-11 20:31:28+08:00,健身打卡，力训90min，练胸+腿。 ,0,1,0,上海,https://m.weibo.cn/detail/5265234073747659
304,5262701695860986,2026-02-04 20:48:42+08:00,健身打卡，力训一小时，主要练背。健身补卡，昨天练胸一小时。 ,0,1,0,上海,https://m.weibo.cn/detail/5262701695860986
305,5260165331821982,2026-01-28 20:50:07+08:00,健身打卡，练背1h。 ,0,1,0,上海,https://m.weibo.cn/detail/5260165331821982
306,5258690712046057,2026-01-24 19:10:30+08:00,健身打卡，力训练胸1h，跑步机爬坡30min。 ,0,1,0,上海,https://m.weibo.cn/detail/5258690712046057
307,5257263512032375,2026-01-20 20:39:19+08:00,健身打卡，今日力训练背1h。 ,0,1,0,上海,https://m.weibo.cn/detail/5257263512032375
308,5255089939286999,2026-01-14 20:42:19+08:00,健身打卡，力训练背1h。 ,0,3,0,上海,https://m.weibo.cn/detail/5255089939286999
309,5254730890875556,2026-01-13 20:55:35+08:00,健身打卡，力训1h，主要练腿。 ,0,1,0,上海,https://m.weibo.cn/detail/5254730890875556
310,5253996631824037,2026-01-11 20:17:54+08:00,健身打卡，今日力训60min，主要练胸，跑步机爬坡30min。 ,0,1,0,上海,https://m.weibo.cn/detail/5253996631824037
311,5272859670743996,2026-03-04 21:32:53+08:00,健身打卡，30min练背，1h椭圆机有氧。健身补卡：上周力训90min，爬坡30min+1节网球课。 ,0,1,0,上海,https://m.weibo.cn/detail/5272859670743996
312,5270292341457010,2026-02-25 19:31:13+08:00,健身打卡，力量训练60分钟：全身热身循环。 ,0,1,0,上海,https://m.weibo.cn/detail/5270292341457010
313,5265234073747659,2026-02-11 20:31:28+08:00,健身打卡，力训90min，练胸+腿。 ,0,1,0,上海,https://m.weibo.cn/detail/5265234073747659
314,5262701695860986,2026-02-04 20:48:42+08:00,健身打卡，力训一小时，主要练背。健身补卡，昨天练胸一小时。 ,0,1,0,上海,https://m.weibo.cn/detail/5262701695860986
315,5260165331821982,2026-01-28 20:50:07+08:00,健身打卡，练背1h。 ,0,1,0,上海,https://m.weibo.cn/detail/5260165331821982
316,5258690712046057,2026-01-24 19:10:30+08:00,健身打卡，力训练胸1h，跑步机爬坡30min。 ,0,1,0,上海,https://m.weibo.cn/detail/5258690712046057
317,5257263512032375,2026-01-20 20:39:19+08:00,健身打卡，今日力训练背1h。 ,0,1,0,上海,https://m.weibo.cn/detail/5257263512032375
318,5255089939286999,2026-01-14 20:42:19+08:00,健身打卡，力训练背1h。 ,0,3,0,上海,https://m.weibo.cn/detail/5255089939286999
319,5254730890875556,2026-01-13 20:55:35+08:00,健身打卡，力训1h，主要练腿。 ,0,1,0,上海,https://m.weibo.cn/detail/5254730890875556
320,5253996631824037,2026-01-11 20:17:54+08:00,健身打卡，今日力训60min，主要练胸，跑步机爬坡30min。 ,0,1,0,上海,https://m.weibo.cn/detail/5253996631824037
321,5272859670743996,2026-03-04 21:32:53+08:00,健身打卡，30min练背，1h椭圆机有氧。健身补卡：上周力训90min，爬坡30min+1节网球课。 ,0,1,0,上海,https://m.weibo.cn/detail/5272859670743996
322,5270292341457010,2026-02-25 19:31:13+08:00,健身打卡，力量训练60分钟：全身热身循环。 ,0,1,0,上海,https://m.weibo.cn/detail/5270292341457010
323,5265234073747659,2026-02-11 20:31:28+08:00,健身打卡，力训90min，练胸+腿。 ,0,1,0,上海,https://m.weibo.cn/detail/5265234073747659
324,5262701695860986,2026-02-04 20:48:42+08:00,健身打卡，力训一小时，主要练背。健身补卡，昨天练胸一小时。 ,0,1,0,上海,https://m.weibo.cn/detail/5262701695860986
325,5260165331821982,2026-01-28 20:50:07+08:00,健身打卡，练背1h。 ,0,1,0,上海,https://m.weibo.cn/detail/5260165331821982
326,5258690712046057,2026-01-24 19:10:30+08:00,健身打卡，力训练胸1h，跑步机爬坡30min。 ,0,1,0,上海,https://m.weibo.cn/detail/5258690712046057
327,5257263512032375,2026-01-20 20:39:19+08:00,健身打卡，今日力训练背1h。 ,0,1,0,上海,https://m.weibo.cn/detail/5257263512032375
328,5255089939286999,2026-01-14 20:42:19+08:00,健身打卡，力训练背1h。 ,0,3,0,上海,https://m.weibo.cn/detail/5255089939286999
329,5254730890875556,2026-01-13 20:55:35+08:00,健身打卡，力训1h，主要练腿。 ,0,1,0,上海,https://m.weibo.cn/detail/5254730890875556
330,5253996631824037,2026-01-11 20:17:54+08:00,健身打卡，今日力训60min，主要练胸，跑步机爬坡30min。 ,0,1,0,上海,https://m.weibo.cn/detail/5253996631824037
331,5272859670743996,2026-03-04 21:32:53+08:00,健身打卡，30min练背，1h椭圆机有氧。健身补卡：上周力训90min，爬坡30min+1节网球课。 ,0,1,0,上海,https://m.weibo.cn/detail/5272859670743996
332,5270292341457010,2026-02-25 19:31:13+08:00,健身打卡，力量训练60分钟：全身热身循环。 ,0,1,0,上海,https://m.weibo.cn/detail/5270292341457010
333,5265234073747659,2026-02-11 20:31:28+08:00,健身打卡，力训90min，练胸+腿。 ,0,1,0,上海,https://m.weibo.cn/detail/5265234073747659
334,5262701695860986,2026-02-04 20:48:42+08:00,健身打卡，力训一小时，主要练背。健身补卡，昨天练胸一小时。 ,0,1,0,上海,https://m.weibo.cn/detail/5262701695860986
335,5260165331821982,2026-01-28 20:50:07+08:00,健身打卡，练背1h。 ,0,1,0,上海,https://m.weibo.cn/detail/5260165331821982
336,5258690712046057,2026-01-24 19:10:30+08:00,健身打卡，力训练胸1h，跑步机爬坡30min。 ,0,1,0,上海,https://m.weibo.cn/detail/5258690712046057
337,5257263512032375,2026-01-20 20:39:19+08:00,健身打卡，今日力训练背1h。 ,0,1,0,上海,https://m.weibo.cn/detail/5257263512032375
338,5255089939286999,2026-01-14 20:42:19+08:00,健身打卡，力训练背1h。 ,0,3,0,上海,https://m.weibo.cn/detail/5255089939286999
339,5254730890875556,2026-01-13 20:55:35+08:00,健身打卡，力训1h，主要练腿。 ,0,1,0,上海,https://m.weibo.cn/detail/5254730890875556
340,5253996631824037,2026-01-11 20:17:54+08:00,健身打卡，今日力训60min，主要练胸，跑步机爬坡30min。 ,0,1,0,上海,https://m.weibo.cn/detail/5253996631824037
341,5272859670743996,2026-03-04 21:32:53+08:00,健身打卡，30min练背，1h椭圆机有氧。健身补卡：上周力训90min，爬坡30min+1节网球课。 ,0,1,0,上海,https://m.weibo.cn/detail/5272859670743996
342,5270292341457010,2026-02-25 19:31:13+08:00,健身打卡，力量训练60分钟：全身热身循环。 ,0,1,0,上海,https://m.weibo.cn/detail/5270292341457010
343,5265234073747659,2026-02-11 20:31:28+08:00,健身打卡，力训90min，练胸+腿。 ,0,1,0,上海,https://m.weibo.cn/detail/5265234073747659
344,5262701695860986,2026-02-04 20:48:42+08:00,健身打卡，力训一小时，主要练背。健身补卡，昨天练胸一小时。 ,0,1,0,上海,https://m.weibo.cn/detail/5262701695860986
345,5260165331821982,2026-01-28 20:50:07+08:00,健身打卡，练背1h。 ,0,1,0,上海,https://m.weibo.cn/detail/5260165331821982
346,5258690712046057,2026-01-24 19:10:30+08:00,健身打卡，力训练胸1h，跑步机爬坡30min。 ,0,1,0,上海,https://m.weibo.cn/detail/5258690712046057
347,5257263512032375,2026-01-20 20:39:19+08:00,健身打卡，今日力训练背1h。 ,0,1,0,上海,https://m.weibo.cn/detail/5257263512032375
348,5255089939286999,2026-01-14 20:42:19+08:00,健身打卡，力训练背1h。 ,0,3,0,上海,https://m.weibo.cn/detail/5255089939286999
349,5254730890875556,2026-01-13 20:55:35+08:00,健身打卡，力训1h，主要练腿。 ,0,1,0,上海,https://m.weibo.cn/detail/5254730890875556
350,5253996631824037,2026-01-11 20:17:54+08:00,健身打卡，今日力训60min，主要练胸，跑步机爬坡30min。 ,0,1,0,上海,https://m.weibo.cn/detail/5253996631824037
351,5272859670743996,2026-03-04 21:32:53+08:00,健身打卡，30min练背，1h椭圆机有氧。健身补卡：上周力训90min，爬坡30min+1节网球课。 ,0,1,0,上海,https://m.weibo.cn/detail/5272859670743996
352,5270292341457010,2026-02-25 19:31:13+08:00,健身打卡，力量训练60分钟：全身热身循环。 ,0,1,0,上海,https://m.weibo.cn/detail/5270292341457010
353,5265234073747659,2026-02-11 20:31:28+08:00,健身打卡，力训90min，练胸+腿。 ,0,1,0,上海,https://m.weibo.cn/detail/5265234073747659
354,5262701695860986,2026-02-04 20:48:42+08:00,健身打卡，力训一小时，主要练背。健身补卡，昨天练胸一小时。 ,0,1,0,上海,https://m.weibo.cn/detail/5262701695860986
355,5260165331821982,2026-01-28 20:50:07+08:00,健身打卡，练背1h。 ,0,1,0,上海,https://m.weibo.cn/detail/5260165331821982
356,5258690712046057,2026-01-24 19:10:30+08:00,健身打卡，力训练胸1h，跑步机爬坡30min。 ,0,1,0,上海,https://m.weibo.cn/detail/5258690712046057
357,5257263512032375,2026-01-20 20:39:19+08:00,健身打卡，今日力训练背1h。 ,0,1,0,上海,https://m.weibo.cn/detail/5257263512032375
358,5255089939286999,2026-01-14 20:42:19+08:00,健身打卡，力训练背1h。 ,0,3,0,上海,https://m.weibo.cn/detail/5255089939286999
359,5254730890875556,2026-01-13 20:55:35+08:00,健身打卡，力训1h，主要练腿。 ,0,1,0,上海,https://m.weibo.cn/detail/5254730890875556
360,5253996631824037,2026-01-11 20:17:54+08:00,健身打卡，今日力训60min，主要练胸，跑步机爬坡30min。 ,0,1,0,上海,https://m.weibo.cn/detail/5253996631824037
361,5272859670743996,2026-03-04 21:32:53+08:00,健身打卡，30min练背，1h椭圆机有氧。健身补卡：上周力训90min，爬坡30min+1节网球课。 ,0,1,0,上海,https://m.weibo.cn/detail/5272859670743996
362,5270292341457010,2026-02-25 19:31:13+08:00,健身打卡，力量训练60分钟：全身热身循环。 ,0,1,0,上海,https://m.weibo.cn/detail/5270292341457010
363,5265234073747659,2026-02-11 20:31:28+08:00,健身打卡，力训90min，练胸+腿。 ,0,1,0,上海,https://m.weibo.cn/detail/5265234073747659
364,5262701695860986,2026-02-04 20:48:42+08:00,健身打卡，力训一小时，主要练背。健身补卡，昨天练胸一小时。 ,0,1,0,上海,https://m.weibo.cn/detail/5262701695860986
365,5260165331821982,2026-01-28 20:50:07+08:00,健身打卡，练背1h。 ,0,1,0,上海,https://m.weibo.cn/detail/5260165331821982
366,5258690712046057,2026-01-24 19:10:30+08:00,健身打卡，力训练胸1h，跑步机爬坡30min。 ,0,1,0,上海,https://m.weibo.cn/detail/5258690712046057
367,5257263512032375,2026-01-20 20:39:19+08:00,健身打卡，今日力训练背1h。 ,0,1,0,上海,https://m.weibo.cn/detail/5257263512032375
368,5255089939286999,2026-01-14 20:42:19+08:00,健身打卡，力训练背1h。 ,0,3,0,上海,https://m.weibo.cn/detail/5255089939286999
369,5254730890875556,2026-01-13 20:55:35+08:00,健身打卡，力训1h，主要练腿。 ,0,1,0,上海,https://m.weibo.cn/detail/5254730890875556
370,5253996631824037,2026-01-11 20:17:54+08:00,健身打卡，今日力训60min，主要练胸，跑步机爬坡30min。 ,0,1,0,上海,https://m.weibo.cn/detail/5253996631824037
371,5272859670743996,2026-03-04 21:32:53+08:00,健身打卡，30min练背，1h椭圆机有氧。健身补卡：上周力训90min，爬坡30min+1节网球课。 ,0,1,0,上海,https://m.weibo.cn/detail/5272859670743996
372,5270292341457010,2026-02-25 19:31:13+08:00,健身打卡，力量训练60分钟：全身热身循环。 ,0,1,0,上海,https://m.weibo.cn/detail/5270292341457010
373,5265234073747659,2026-02-11 20:31:28+08:00,健身打卡，力训90min，练胸+腿。 ,0,1,0,上海,https://m.weibo.cn/detail/5265234073747659
374,5262701695860986,2026-02-04 20:48:42+08:00,健身打卡，力训一小时，主要练背。健身补卡，昨天练胸一小时。 ,0,1,0,上海,https://m.weibo.cn/detail/5262701695860986
375,5260165331821982,2026-01-28 20:50:07+08:00,健身打卡，练背1h。 ,0,1,0,上海,https://m.weibo.cn/detail/5260165331821982
376,5258690712046057,2026-01-24 19:10:30+08:00,健身打卡，力训练胸1h，跑步机爬坡30min。 ,0,1,0,上海,https://m.weibo.cn/detail/5258690712046057
377,5257263512032375,2026-01-20 20:39:19+08:00,健身打卡，今日力训练背1h。 ,0,1,0,上海,https://m.weibo.cn/detail/5257263512032375
378,5255089939286999,2026-01-14 20:42:19+08:00,健身打卡，力训练背1h。 ,0,3,0,上海,https://m.weibo.cn/detail/5255089939286999
379,5254730890875556,2026-01-13 20:55:35+08:00,健身打卡，力训1h，主要练腿。 ,0,1,0,上海,https://m.weibo.cn/detail/5254730890875556
380,5253996631824037,2026-01-11 20:17:54+08:00,健身打卡，今日力训60min，主要练胸，跑步机爬坡30min。 ,0,1,0,上海,https://m.weibo.cn/detail/5253996631824037
381,5272859670743996,2026-03-04 21:32:53+08:00,健身打卡，30min练背，1h椭圆机有氧。健身补卡：上周力训90min，爬坡30min+1节网球课。 ,0,1,0,上海,https://m.weibo.cn/detail/5272859670743996
382,5270292341457010,2026-02-25 19:31:13+08:00,健身打卡，力量训练60分钟：全身热身循环。 ,0,1,0,上海,https://m.weibo.cn/detail/5270292341457010
383,5265234073747659,2026-02-11 20:31:28+08:00,健身打卡，力训90min，练胸+腿。 ,0,1,0,上海,https://m.weibo.cn/detail/5265234073747659
384,5262701695860986,2026-02-04 20:48:42+08:00,健身打卡，力训一小时，主要练背。健身补卡，昨天练胸一小时。 ,0,1,0,上海,https://m.weibo.cn/detail/5262701695860986
385,5260165331821982,2026-01-28 20:50:07+08:00,健身打卡，练背1h。 ,0,1,0,上海,https://m.weibo.cn/detail/5260165331821982
386,5258690712046057,2026-01-24 19:10:30+08:00,健身打卡，力训练胸1h，跑步机爬坡30min。 ,0,1,0,上海,https://m.weibo.cn/detail/5258690712046057
387,5257263512032375,2026-01-20 20:39:19+08:00,健身打卡，今日力训练背1h。 ,0,1,0,上海,https://m.weibo.cn/detail/5257263512032375
388,5255089939286999,2026-01-14 20:42:19+08:00,健身打卡，力训练背1h。 ,0,3,0,上海,https://m.weibo.cn/detail/5255089939286999
389,5254730890875556,2026-01-13 20:55:35+08:00,健身打卡，力训1h，主要练腿。 ,0,1,0,上海,https://m.weibo.cn/detail/5254730890875556
390,5253996631824037,2026-01-11 20:17:54+08:00,健身打卡，今日力训60min，主要练胸，跑步机爬坡30min。 ,0,1,0,上海,https://m.weibo.cn/detail/5253996631824037
391,5272859670743996,2026-03-04 21:32:53+08:00,健身打卡，30min练背，1h椭圆机有氧。健身补卡：上周力训90min，爬坡30min+1节网球课。 ,0,1,0,上海,https://m.weibo.cn/detail/5272859670743996
392,5270292341457010,2026-02-25 19:31:13+08:00,健身打卡，力量训练60分钟：全身热身循环。 ,0,1,0,上海,https://m.weibo.cn/detail/5270292341457010
393,5265234073747659,2026-02-11 20:31:28+08:00,健身打卡，力训90min，练胸+腿。 ,0,1,0,上海,https://m.weibo.cn/detail/5265234073747659
394,5262701695860986,2026-02-04 20:48:42+08:00,健身打卡，力训一小时，主要练背。健身补卡，昨天练胸一小时。 ,0,1,0,上海,https://m.weibo.cn/detail/5262701695860986
395,5260165331821982,2026-01-28 20:50:07+08:00,健身打卡，练背1h。 ,0,1,0,上海,https://m.weibo.cn/detail/5260165331821982
396,5258690712046057,2026-01-24 19:10:30+08:00,健身打卡，力训练胸1h，跑步机爬坡30min。 ,0,1,0,上海,https://m.weibo.cn/detail/5258690712046057
397,5257263512032375,2026-01-20 20:39:19+08:00,健身打卡，今日力训练背1h。 ,0,1,0,上海,https://m.weibo.cn/detail/5257263512032375
398,5255089939286999,2026-01-14 20:42:19+08:00,健身打卡，力训练背1h。 ,0,3,0,上海,https://m.weibo.cn/detail/5255089939286999
399,5254730890875556,2026-01-13 20:55:35+08:00,健身打卡，力训1h，主要练腿。 ,0,1,0,上海,https://m.weibo.cn/detail/5254730890875556
400,5253996631824037,2026-01-11 20:17:54+08:00,健身打卡，今日力训60min，主要练胸，跑步机爬坡30min。 ,0,1,0,上海,https://m.weibo.cn/detail/5253996631824037
401,5272859670743996,2026-03-04 21:32:53+08:00,健身打卡，30min练背，1h椭圆机有氧。健身补卡：上周力训90min，爬坡30min+1节网球课。 ,0,1,0,上海,https://m.weibo.cn/detail/5272859670743996
402,5270292341457010,2026-02-25 19:31:13+08:00,健身打卡，力量训练60分钟：全身热身循环。 ,0,1,0,上海,https://m.weibo.cn/detail/5270292341457010
403,5265234073747659,2026-02-11 20:31:28+08:00,健身打卡，力训90min，练胸+腿。 ,0,1,0,上海,https://m.weibo.cn/detail/5265234073747659
404,5262701695860986,2026-02-04 20:48:42+08:00,健身打卡，力训一小时，主要练背。健身补卡，昨天练胸一小时。 ,0,1,0,上海,https://m.weibo.cn/detail/5262701695860986
405,5260165331821982,2026-01-28 20:50:07+08:00,健身打卡，练背1h。 ,0,1,0,上海,https://m.weibo.cn/detail/5260165331821982
406,5258690712046057,2026-01-24 19:10:30+08:00,健身打卡，力训练胸1h，跑步机爬坡30min。 ,0,1,0,上海,https://m.weibo.cn/detail/5258690712046057
407,5257263512032375,2026-01-20 20:39:19+08:00,健身打卡，今日力训练背1h。 ,0,1,0,上海,https://m.weibo.cn/detail/5257263512032375
408,5255089939286999,2026-01-14 20:42:19+08:00,健身打卡，力训练背1h。 ,0,3,0,上海,https://m.weibo.cn/detail/5255089939286999
409,5254730890875556,2026-01-13 20:55:35+08:00,健身打卡，力训1h，主要练腿。 ,0,1,0,上海,https://m.weibo.cn/detail/5254730890875556
410,5253996631824037,2026-01-11 20:17:54+08:00,健身打卡，今日力训60min，主要练胸，跑步机爬坡30min。 ,0,1,0,上海,https://m.weibo.cn/detail/5253996631824037
411,5272859670743996,2026-03-04 21:32:53+08:00,健身打卡，30min练背，1h椭圆机有氧。健身补卡：上周力训90min，爬坡30min+1节网球课。 ,0,1,0,上海,https://m.weibo.cn/detail/5272859670743996
412,5270292341457010,2026-02-25 19:31:13+08:00,健身打卡，力量训练60分钟：全身热身循环。 ,0,1,0,上海,https://m.weibo.cn/detail/5270292341457010
413,5265234073747659,2026-02-11 20:31:28+08:00,健身打卡，力训90min，练胸+腿。 ,0,1,0,上海,https://m.weibo.cn/detail/5265234073747659
414,5262701695860986,2026-02-04 20:48:42+08:00,健身打卡，力训一小时，主要练背。健身补卡，昨天练胸一小时。 ,0,1,0,上海,https://m.weibo.cn/detail/5262701695860986
415,5260165331821982,2026-01-28 20:50:07+08:00,健身打卡，练背1h。 ,0,1,0,上海,https://m.weibo.cn/detail/5260165331821982
416,5258690712046057,2026-01-24 19:10:30+08:00,健身打卡，力训练胸1h，跑步机爬坡30min。 ,0,1,0,上海,https://m.weibo.cn/detail/5258690712046057
417,5257263512032375,2026-01-20 20:39:19+08:00,健身打卡，今日力训练背1h。 ,0,1,0,上海,https://m.weibo.cn/detail/5257263512032375
418,5255089939286999,2026-01-14 20:42:19+08:00,健身打卡，力训练背1h。 ,0,3,0,上海,https://m.weibo.cn/detail/5255089939286999
419,5254730890875556,2026-01-13 20:55:35+08:00,健身打卡，力训1h，主要练腿。 ,0,1,0,上海,https://m.weibo.cn/detail/5254730890875556
420,5253996631824037,2026-01-11 20:17:54+08:00,健身打卡，今日力训60min，主要练胸，跑步机爬坡30min。 ,0,1,0,上海,https://m.weibo.cn/detail/5253996631824037
421,5272859670743996,2026-03-04 21:32:53+08:00,健身打卡，30min练背，1h椭圆机有氧。健身补卡：上周力训90min，爬坡30min+1节网球课。 ,0,1,0,上海,https://m.weibo.cn/detail/5272859670743996
422,5270292341457010,2026-02-25 19:31:13+08:00,健身打卡，力量训练60分钟：全身热身循环。 ,0,1,0,上海,https://m.weibo.cn/detail/5270292341457010
423,5265234073747659,2026-02-11 20:31:28+08:00,健身打卡，力训90min，练胸+腿。 ,0,1,0,上海,https://m.weibo.cn/detail/5265234073747659
424,5262701695860986,2026-02-04 20:48:42+08:00,健身打卡，力训一小时，主要练背。健身补卡，昨天练胸一小时。 ,0,1,0,上海,https://m.weibo.cn/detail/5262701695860986
425,5260165331821982,2026-01-28 20:50:07+08:00,健身打卡，练背1h。 ,0,1,0,上海,https://m.weibo.cn/detail/5260165331821982
426,5258690712046057,2026-01-24 19:10:30+08:00,健身打卡，力训练胸1h，跑步机爬坡30min。 ,0,1,0,上海,https://m.weibo.cn/detail/5258690712046057
427,5257263512032375,2026-01-20 20:39:19+08:00,健身打卡，今日力训练背1h。 ,0,1,0,上海,https://m.weibo.cn/detail/5257263512032375
428,5255089939286999,2026-01-14 20:42:19+08:00,健身打卡，力训练背1h。 ,0,3,0,上海,https://m.weibo.cn/detail/5255089939286999
429,5254730890875556,2026-01-13 20:55:35+08:00,健身打卡，力训1h，主要练腿。 ,0,1,0,上海,https://m.weibo.cn/detail/5254730890875556
430,5253996631824037,2026-01-11 20:17:54+08:00,健身打卡，今日力训60min，主要练胸，跑步机爬坡30min。 ,0,1,0,上海,https://m.weibo.cn/detail/5253996631824037
431,5272859670743996,2026-03-04 21:32:53+08:00,健身打卡，30min练背，1h椭圆机有氧。健身补卡：上周力训90min，爬坡30min+1节网球课。 ,0,1,0,上海,https://m.weibo.cn/detail/5272859670743996
432,5270292341457010,2026-02-25 19:31:13+08:00,健身打卡，力量训练60分钟：全身热身循环。 ,0,1,0,上海,https://m.weibo.cn/detail/5270292341457010
433,5265234073747659,2026-02-11 20:31:28+08:00,健身打卡，力训90min，练胸+腿。 ,0,1,0,上海,https://m.weibo.cn/detail/5265234073747659
434,5262701695860986,2026-02-04 20:48:42+08:00,健身打卡，力训一小时，主要练背。健身补卡，昨天练胸一小时。 ,0,1,0,上海,https://m.weibo.cn/detail/5262701695860986
435,5260165331821982,2026-01-28 20:50:07+08:00,健身打卡，练背1h。 ,0,1,0,上海,https://m.weibo.cn/detail/5260165331821982
436,5258690712046057,2026-01-24 19:10:30+08:00,健身打卡，力训练胸1h，跑步机爬坡30min。 ,0,1,0,上海,https://m.weibo.cn/detail/5258690712046057
437,5257263512032375,2026-01-20 20:39:19+08:00,健身打卡，今日力训练背1h。 ,0,1,0,上海,https://m.weibo.cn/detail/5257263512032375
438,5255089939286999,2026-01-14 20:42:19+08:00,健身打卡，力训练背1h。 ,0,3,0,上海,https://m.weibo.cn/detail/5255089939286999
439,5254730890875556,2026-01-13 20:55:35+08:00,健身打卡，力训1h，主要练腿。 ,0,1,0,上海,https://m.weibo.cn/detail/5254730890875556
440,5253996631824037,2026-01-11 20:17:54+08:00,健身打卡，今日力训60min，主要练胸，跑步机爬坡30min。 ,0,1,0,上海,https://m.weibo.cn/detail/5253996631824037
441,5272859670743996,2026-03-04 21:32:53+08:00,健身打卡，30min练背，1h椭圆机有氧。健身补卡：上周力训90min，爬坡30min+1节网球课。 ,0,1,0,上海,https://m.weibo.cn/detail/5272859670743996
442,5270292341457010,2026-02-25 19:31:13+08:00,健身打卡，力量训练60分钟：全身热身循环。 ,0,1,0,上海,https://m.weibo.cn/detail/5270292341457010
443,5265234073747659,2026-02-11 20:31:28+08:00,健身打卡，力训90min，练胸+腿。 ,0,1,0,上海,https://m.weibo.cn/detail/5265234073747659
444,5262701695860986,2026-02-04 20:48:42+08:00,健身打卡，力训一小时，主要练背。健身补卡，昨天练胸一小时。 ,0,1,0,上海,https://m.weibo.cn/detail/5262701695860986
445,5260165331821982,2026-01-28 20:50:07+08:00,健身打卡，练背1h。 ,0,1,0,上海,https://m.weibo.cn/detail/5260165331821982
446,5258690712046057,2026-01-24 19:10:30+08:00,健身打卡，力训练胸1h，跑步机爬坡30min。 ,0,1,0,上海,https://m.weibo.cn/detail/5258690712046057
447,5257263512032375,2026-01-20 20:39:19+08:00,健身打卡，今日力训练背1h。 ,0,1,0,上海,https://m.weibo.cn/detail/5257263512032375
448,5255089939286999,2026-01-14 20:42:19+08:00,健身打卡，力训练背1h。 ,0,3,0,上海,https://m.weibo.cn/detail/5255089939286999
449,5254730890875556,2026-01-13 20:55:35+08:00,健身打卡，力训1h，主要练腿。 ,0,1,0,上海,https://m.weibo.cn/detail/5254730890875556
450,5253996631824037,2026-01-11 20:17:54+08:00,健身打卡，今日力训60min，主要练胸，跑步机爬坡30min。 ,0,1,0,上海,https://m.weibo.cn/detail/5253996631824037
